REF,RESTRICTION,SITE_NAME,SUMMARY,AUTHORITY,DATE_FROM,DATE_TO,LEG_NAME,LEG_DATE,LEG_LINK,MORE_INFO,UPDATED
1101,1,"Faslane Restricted Area","Otherwise than in accordance with a written permission granted by the Queen\'s harbour master, no trawling or fishing by nets, whether drift or set nets, or laying of lobster and / or crab pots","Scottish Government (Marine Scotland)",,,"SSI 2011 No. 1680 (Art 5)",2011-07-21,http://www.legislation.gov.uk/uksi/2011/1680/schedule/5/made,https://marine.gov.scot/information/fishing-managed-areas,2021-07-07
1185,1,"Firth of Clyde","Fishing for any species of sea fish (except herring, mackerel and sprats) from a fishing boat with an overall length not greater than 21.34 metres is permitted. Fishing for sea fish with mobile or active gear is prohibited from midnight on Friday until midnight on Sunday.","Scottish Government (Marine Scotland)",,,"SSI 2004 No. 276 (Art 7/8)",2004-07-05,http://www.legislation.gov.uk/ssi/2004/276/schedule/3/made,https://marine.gov.scot/information/fishing-managed-areas,2021-07-07
1185,2,"Firth of Clyde","Fishing for any species of sea fish (except herring, mackerel and sprats) from a fishing boat with an overall length not greater than 21.34 metres is permitted. Fishing for sea fish with mobile or active gear is prohibited from midnight on Friday until midnight on Sunday.","Scottish Government (Marine Scotland)",,,"SSI 2004 No. 276 (Art 7/8)",2004-07-05,http://www.legislation.gov.uk/ssi/2004/276/schedule/3/made,https://marine.gov.scot/information/fishing-managed-areas,2021-07-07
1154,1,"Firth of Clyde Area 1","Fishing for sea fish by any method, by any British fishing boat, is prohibited.","Scottish Government (Marine Scotland)","14th February","30th April","SSI 2024 No. 6",2024-02-14,https://www.legislation.gov.uk/ssi/2024/6/made,https://consult.gov.scot/marine-scotland/cod-spawning-closure/,2024-02-20
1155,1,"Firth of Clyde Area 2","Fishing for sea fish by any method, by any British fishing boat, is prohibited.","Scottish Government (Marine Scotland)","14th February","30th April","SSI 2024 No. 6",2024-02-14,https://www.legislation.gov.uk/ssi/2024/6/made,https://consult.gov.scot/marine-scotland/cod-spawning-closure/,2024-02-20
1186,1,"Firth of Forth","Fishing for any species of sea fish (except herring, mackerel and sprats) is prohibited except from a fishing boat with an overall length not greater than 16.77 metres.","Scottish Government (Marine Scotland)",,,"SSI 2004 No. 276 (Art 7/8)",2004-07-05,http://www.legislation.gov.uk/ssi/2004/276/schedule/3/made,https://marine.gov.scot/information/fishing-managed-areas,2021-07-07
1152,1,"Firth of Forth (Sprat)","Fishing with any towed gear with a codend mesh size of less than 32mm or static nets less than 30mm mesh size shall be prohibited from 1 January to 31 March, and from 1 October to 31 December.","Scottish Government (Marine Scotland)","1st October","31st March","EU 2019/1241 (Annex V Part C)",2019-08-14,https://www.legislation.gov.uk/eur/2019/1241/annex/V/part/C,https://marine.gov.scot/information/fishing-managed-areas,2021-07-07
1072,1,"Fisheries Act 2012: Queen scallop dredge zone","All dredging prohibited when closed. See fishing licence schedule for closures.","Isle of Man Government","1st January","1st January","Fisheries Act 2012",2012-07-10,https://www.gov.im/media/1347777/fisheriesact2012_2.pdf,https://www.gov.im/media/1371573/iomfl-schedule-h10-150121.pdf,2021-07-19
1080,1,"Fisheries Act 2012: Territorial sea (3-6nm)","No person shall fish for, take or kill scallops by means of a scallop dredge if the width exceeds 35ft (1067cm). IoM licence required.","Isle of Man Government","1st January","1st January","Fisheries Act 2012",2012-07-10,https://www.gov.im/media/1347777/fisheriesact2012_2.pdf,https://www.gov.im/commercialfishing,2021-07-19
1081,1,"Fisheries Act 2012: Territorial sea (6-12nm)","No person shall fish for, take or kill scallops by means of a scallop dredge if the width exceeds 35ft (1067cm). IoM licence required.","Isle of Man Government","1st January","1st January","Fisheries Act 2012",2012-07-10,https://www.gov.im/media/1347777/fisheriesact2012_2.pdf,https://www.gov.im/commercialfishing,2021-07-19
2140,1,"Fishing for Cockle Byelaw","A person must not fish for or take from a fishery a cockle between the 1st February and the 30th April inclusive. A person must not fish for or take from a fishery a cockle except: a) by hand picking, or b) using a rake or other similar instrument, or c) with a dredge. This does not apply to a person fishing for or taking cockles using a dredge from a vessel within Poole Harbour.","Southern IFCA","1st February","30th April","Fishing for Cockle Byelaw",2021-01-01,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Fishing-for-Cockles-FINAL.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-11-12
1685,1,"Fishing instruments - Pair trawl: West of Shoreham Harbour","No person shall fish for seafish except by a pair trawl for demersal species between the first day of April and the last day of June in the same year (both dates inclusive). The codend shall consist along its length of not less than 40 rows of meshes of a minimum size of 110 millimetres.","Sussex IFCA",,,"Fishing instruments - Pair trawl",2009-11-12,https://www.sussex-ifca.gov.uk/fishing-instruments,https://www.sussex-ifca.gov.uk/byelaws,2021-09-23
1685,2,"Fishing instruments - Pair trawl: West of Shoreham Harbour","No person shall fish for seafish except by a pair trawl for demersal species between the first day of April and the last day of June in the same year (both dates inclusive). The codend shall consist along its length of not less than 40 rows of meshes of a minimum size of 110 millimetres.","Sussex IFCA","1st July","31st March","Fishing instruments - Pair trawl",2009-11-12,https://www.sussex-ifca.gov.uk/fishing-instruments,https://www.sussex-ifca.gov.uk/byelaws,2021-09-23
1684,1,"Fishing instruments - Scallop dredge: Sussex IFCA 0-3 nm zone","No person shall fish for seafish except by dredges used in fishing for scallops (pecten maximus) provided that any such dredge is of the spring loaded \"Newhaven\" type. \"French\" or paravane type scallop dredges shall be banned.","Sussex IFCA",,,"Fishing instruments - Scallop dredge",2009-11-12,https://www.sussex-ifca.gov.uk/fishing-instruments,https://www.sussex-ifca.gov.uk/byelaws,2021-09-23
1683,1,"Fishing instruments: Sussex IFCA District","No person shall fish for seafish except by: trawl (in fishing for all demersal and pelagic species inc. cephalopods, scallops, queen scallops, whelks, and crustaceans); pair trawl ( in fishing for pelagic species); drift net; trammel net; fixed gill net; hooks; lines; long lines; beach seines; fyke nets; pots; traps; oyster and scallop dredge; or keddle nets. Mesh size restrictions apply. ","Sussex IFCA",,,"Fishing instruments",2009-11-12,https://www.sussex-ifca.gov.uk/fishing-instruments,https://www.sussex-ifca.gov.uk/byelaws,2021-09-23
1475,1,"Fishing Under Mechanical Power - Closed Area","Between the 1st day of May and the 31st day of August in the same year (both days inclusive) no person shall use in fishing for sea fish any trawl net in connection with a vessel which is for the time being propelled either entirely or in part by means of mechanical power in that part of the District which lies within one nautical mile from any part of the coast.","Southern IFCA","1st May","31st August","Fishing Under Mechanical Power - Closed Area",1905-07-06,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Fishing-Under-Mechanical-Power-FINAL.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1483,1,"Fixed Engine Byelaw - Itchen","The placing and use of fixed engines, other than Fyke nets, for the taking of seafish is prohibited during the period from 1 April to 30 September (both days inclusive).","Southern IFCA","1st April","30th September","Fixed Engine Byelaw",2019-11-19,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Fixed-Engines.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1478,1,"Fixed Engine Byelaw - Keyhaven","The placing and use of fixed engines, other than Fyke nets, for the taking of seafish is prohibited during the period from 1 April to 30 September (both days inclusive).","Southern IFCA","1st April","30th September","Fixed Engine Byelaw",2019-11-19,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Fixed-Engines.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1486,1,"Fixed Engine Byelaw - Lyme Bay","No fixed net may be set during the period from 1st May to 31st July inclusive unless the headline of every fixed net is set at least three meters below the surface of the water at any state of the tide.","Southern IFCA","1st May","31st July","Fixed Engine Byelaw",2019-11-19,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Fixed-Engines.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1479,1,"Fixed Engine Byelaw - Lymington","The placing and use of fixed engines, other than Fyke nets, for the taking of seafish is prohibited during the period from 1 April to 30 September (both days inclusive).","Southern IFCA","1st April","30th September","Fixed Engine Byelaw",2019-11-19,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Fixed-Engines.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1477,1,"Fixed Engine Byelaw - Poole Harbour","The placing and use of fixed engines, other than Fyke nets, for the taking of seafish is prohibited during the period from 1 April to 30 September (both days inclusive).","Southern IFCA","1st April","30th September","Fixed Engine Byelaw",2019-11-19,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Fixed-Engines.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1485,1,"Fixed Engine Byelaw - River Meon","The placing and use of fixed engines, other than Fyke nets, for the taking of seafish is prohibited during the period from 1 April to 30 September (both days inclusive).","Southern IFCA","1st April","30th September","Fixed Engine Byelaw",2019-11-19,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Fixed-Engines.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1484,1,"Fixed Engine Byelaw - Test","The placing and use of fixed engines, other than Fyke nets, for the taking of seafish is prohibited during the period from 1 April to 30 September (both days inclusive).","Southern IFCA","1st April","30th September","Fixed Engine Byelaw",2019-11-19,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Fixed-Engines.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1680,1,"Fixed engines byelaw: Brighton Marina","No person shall place or use any fixed engine between the 1st day of May and 30th day of September (both days inclusive).","Sussex IFCA","1st May","30th September","Fixed engines byelaw",2009-11-12,https://www.sussex-ifca.gov.uk/fixed-engines,https://www.sussex-ifca.gov.uk/byelaws,2021-09-23
1681,1,"Fixed engines byelaw: Chichester Harbour","No person shall place or use any fixed engine other than fyke nets between the 1st day of May and 30th day of September (both days inclusive).","Sussex IFCA","1st May","30th September","Fixed engines byelaw",2009-11-12,https://www.sussex-ifca.gov.uk/fixed-engines,https://www.sussex-ifca.gov.uk/byelaws,2021-09-23
1659,1,"Fixed Engines Byelaw: Coquet Conservation Area","No Person Shall Use A Fixed Engine During the Period 1st November To 25th March  Where The Headline Is Less Than 4 Metres From The Surface At Any State Of Tide","Northumberland IFCA","1st November","25th March","Fixed Engines Byelaw",2009-11-12,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.nifca.gov.uk/byelaws/,2021-09-01
1678,1,"Fixed engines byelaw: Cuckmere Haven","No person shall place or use any fixed engine between the 1st day of May and 30th day of September (both days inclusive).","Sussex IFCA","1st May","30th September","Fixed engines byelaw",2009-11-12,https://www.sussex-ifca.gov.uk/fixed-engines,https://www.sussex-ifca.gov.uk/byelaws,2021-09-23
1682,1,"Fixed engines byelaw: Littlehampton Harbour","No person shall place or use any fixed engine between the 1st day of May and 30th day of September (both days inclusive).","Sussex IFCA","1st May","30th September","Fixed engines byelaw",2009-11-12,https://www.sussex-ifca.gov.uk/fixed-engines,https://www.sussex-ifca.gov.uk/byelaws,2021-09-23
1677,1,"Fixed engines byelaw: Newhaven","No person shall place or use any fixed engine between the 1st day of May and 30th day of September (both days inclusive).","Sussex IFCA","1st May","30th September","Fixed engines byelaw",2009-11-12,https://www.sussex-ifca.gov.uk/fixed-engines,https://www.sussex-ifca.gov.uk/byelaws,2021-09-23
1699,1,"Fixed Engines Byelaw: NIFCA District","No Person Shall Use A Fixed Engine During The Period 26th March To 31st October Where The Headline Is Less Than 4 Metres From The Surface At Any State Of Tide or In Waters Less Than 7 Metres In Depth At Any State Of Tide.","Northumberland IFCA","26th March","31st October","Fixed Engines Byelaw",2009-11-12,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.nifca.gov.uk/byelaws/,2021-09-01
1657,1,"Fixed Engines Byelaw: Prohibition Area 1","No Person Shall Use A Fixed Engine During The Period 26th March To 31st October","Northumberland IFCA","26th March","31st October","Fixed Engines Byelaw",2009-11-12,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.nifca.gov.uk/byelaws/,2021-09-01
1658,1,"Fixed Engines Byelaw: Prohibition Area 2","No Person Shall Use A Fixed Engine During The Period 26th March To 31st October","Northumberland IFCA","26th March","31st October","Fixed Engines Byelaw",2009-11-12,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.nifca.gov.uk/byelaws/,2021-09-01
1656,1,"Fixed Engines Byelaw: River Tweed Box","No Person Shall Use A Fixed Engine Within The District That Lies Within The River Tweed ","Northumberland IFCA",,,"Fixed Engines Byelaw",2009-11-12,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.nifca.gov.uk/byelaws/,2021-09-01
1676,1,"Fixed engines byelaw: Rye Habour","No person shall place or use any fixed engine between the 1st day of May and 30th day of September (both days inclusive).","Sussex IFCA","1st May","30th September","Fixed engines byelaw",2009-11-12,https://www.sussex-ifca.gov.uk/fixed-engines,https://www.sussex-ifca.gov.uk/byelaws,2021-09-23
1679,1,"Fixed engines byelaw: Shoreham Harbour","No person shall place or use any fixed engine between the 1st day of May and 30th day of September (both days inclusive).","Sussex IFCA","1st May","30th September","Fixed engines byelaw",2009-11-12,https://www.sussex-ifca.gov.uk/fixed-engines,https://www.sussex-ifca.gov.uk/byelaws,2021-09-23
1660,1,"Fixed Engines Byelaw: Tyne Conservation Area","No Person Shall Use A Fixed Engine During the Period 1st November To 25th March  Where The Headline Is Less Than 4 Metres From The Surface At Any State Of Tide","Northumberland IFCA","1st November","25th March","Fixed Engines Byelaw",2009-11-12,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.nifca.gov.uk/byelaws/,2021-09-01
1661,1,"Fixed Engines Byelaw: Wansbeck Conservation Area","No Person Shall Use A Fixed Engine During the Period 1st November To 25th March  Where The Headline Is Less Than 4 Metres From The Surface At Any State Of Tide","Northumberland IFCA","1st November","25th March","Fixed Engines Byelaw",2009-11-12,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.nifca.gov.uk/byelaws/,2021-09-01
2026,1,"Flamborough Head No Take Zone","No person or persons shall use any instrument or method of fishing, including hand gathering, for the removal or taking of seafish (including shellfish). This does not apply to salmon species, or trout which migrate to and from the sea. ","North Eastern IFCA",,,"Byelaw XXVII: Flamborough Head No Take Zone",2009-01-27,http://www.ne-ifca.gov.uk/legislation-and-byelaws/byelaw-regulations/,http://www.ne-ifca.gov.uk/legislation-and-byelaws/,1970-01-01
2025,1,"Flamborough Head Permit Area","No vessel shall engage in any trawling activities unless that vessels holds a valid special permit. Beam and multi-rig vessel trawling are prohibited. ","North Eastern IFCA",,,"Byelaw XXVI: Flamborough Head Fishing Byelaw",2014-04-16,http://www.ne-ifca.gov.uk/legislation-and-byelaws/byelaw-regulations/,http://www.ne-ifca.gov.uk/legislation-and-byelaws/,2021-09-01
2025,2,"Flamborough Head Permit Area","No vessel shall engage in any trawling activities unless that vessels holds a valid special permit. Beam and multi-rig vessel trawling are prohibited. ","North Eastern IFCA",,,"Byelaw XXVI: Flamborough Head Fishing Byelaw",2014-04-16,http://www.ne-ifca.gov.uk/legislation-and-byelaws/byelaw-regulations/,http://www.ne-ifca.gov.uk/legislation-and-byelaws/,2021-09-01
2024,1,"Flamborough Head Prohibited Trawling Area","No vessel shall engage in any trawling activities. ","North Eastern IFCA",,,"Byelaw XXVI: Flamborough Head Fishing Byelaw",2014-04-16,http://www.ne-ifca.gov.uk/legislation-and-byelaws/byelaw-regulations/,http://www.ne-ifca.gov.uk/legislation-and-byelaws/,1970-01-01
1181,1,"Flannan Isles","Fishing for sea fish with creels prohibited.","Scottish Government (Marine Scotland)","1st December","31st March","SSI 2004 No. 276 (Art 3)",2004-07-05,https://www.legislation.gov.uk/ssi/2004/276/schedule/2/made,https://marine.gov.scot/information/fishing-managed-areas,2021-07-07
2139,1,"Foul Hooking Byelaw","No person shall use any instrument or device whether used with a rod or line or otherwise for the purpose of foul hooking any mullet or bass. In this Byelaw the term \'foul hooking\' means the deliberate act of hooking the fish in the body, posterior to the eyes.","Southern IFCA",,,"Foul Hooking Byelaw",2021-01-01,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Foul-Hooking.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-11-12
1169,1,"Gallan Head to Aird Barvas","Prohibition of suction dredging in the additional area. ","Scottish Government (Marine Scotland)",,,"SSI 2004 No. 276 (Art 3)",2004-07-05,http://www.legislation.gov.uk/ssi/2004/276/schedule/1/made,https://marine.gov.scot/information/fishing-managed-areas,2021-07-07
1542,1,"Gill Net Fishery Byelaw 2011: St Ives Bay","No person shall use in fishing for sea fish any gill net during any temporary closure of the fishery. This byelaw shall not apply to any person using herring nets between 1 October and 31 December each year.","Cornwall IFCA",,,"Cornwall Sea Fisheries District St Ives Bay Gill Net Fishery Byelaw 2011",2011-03-23,https://secure.toolkitfiles.co.uk/clients/17099/sitedata/Byelaws%20and%20orders/Cornwall_SFC/St-Ives-Bay-Gill-net-fishery.pdf,https://www.cornwall-ifca.gov.uk/Byelaws_Regulations,2021-09-03
1096,1,"Hatton Bank","It shall be prohibited to conduct bottom trawling and fishing with static gear, including bottom set gillnets and bottom set longlines, within the areas","Scottish Government (Marine Scotland)",,,"EU 2019/1241 (Annex XII Part D)",2019-08-14,https://www.legislation.gov.uk/eur/2019/1241/annex/XII/part/D,https://marine.gov.scot/information/fishing-managed-areas,2021-07-07
1207,1,"Hatton Bank 2 Area 1","It shall be prohibited to conduct bottom trawling and fishing with static gear, including bottom set gillnets and bottom set longlines, within the following areas","Scottish Government (Marine Scotland)",,,"NEAFC Recommendation 19 2014 (as amended) (Annex XII Part D)",2019-08-14,https://www.legislation.gov.uk/eur/2019/1241/annex/XII/part/D,https://marine.gov.scot/information/fishing-managed-areas,2021-07-07
1209,1,"Hatton Bank 2 Area 2","It shall be prohibited to conduct bottom trawling and fishing with static gear, including bottom set gillnets and bottom set longlines, within the following areas","Scottish Government (Marine Scotland)",,,"NEAFC Recommendation 19 2014 (as amended) (Annex XII Part D)",2019-08-14,https://www.legislation.gov.uk/eur/2019/1241/annex/XII/part/D,https://marine.gov.scot/information/fishing-managed-areas,2021-07-07
1058,1,"Hatton Rockall Basin MPA","Area falls outside the NEAFC existing fishing area footprint which means that fishing could only take place after an Environmental Impact Assessment.","Scottish Government (Marine Scotland)","1st January","1st January","Marine Conservation Order",2019-06-26,https://www.legislation.gov.uk/asp/2010/5/part/5,https://marine.gov.scot/information/mpa-and-sac-management-marine-conservation-orders-mcos-and-fisheries-management-measures,2021-07-07
1059,1,"Hatton Rockall Basin MPA (NEAFC Area 2)","Bottom fishing activities shall be prohibited.","Scottish Government (Marine Scotland)","1st January","1st January","Marine Conservation Order",2019-06-26,https://www.legislation.gov.uk/asp/2010/5/part/5,https://marine.gov.scot/information/mpa-and-sac-management-marine-conservation-orders-mcos-and-fisheries-management-measures,2021-07-07
1205,1,"Hatton-Rockall Basin Area 1","It shall be prohibited to conduct bottom trawling and fishing with static gear, including bottom set gillnets and bottom set longlines, within the following areas","Scottish Government (Marine Scotland)",,,"NEAFC Recommendation 19 2014 (as amended) (Annex XII Part D)",2019-08-14,https://www.legislation.gov.uk/eur/2019/1241/annex/XII/part/D,https://marine.gov.scot/information/fishing-managed-areas,2021-07-07
1204,1,"Hatton-Rockall Basin Area 2","It shall be prohibited to conduct bottom trawling and fishing with static gear, including bottom set gillnets and bottom set longlines, within the following areas","Scottish Government (Marine Scotland)",,,"NEAFC Recommendation 19 2014 (as amended) (Annex XII Part D)",2019-08-14,https://www.legislation.gov.uk/eur/2019/1241/annex/XII/part/D,https://marine.gov.scot/information/fishing-managed-areas,2021-07-07
2030,1,"Humber Estuary","A person must not trawl within the Humber Estuary unless that person holds a valid Humber Estuary Trawling Permit. The overall length of the vessel must not exceed 18.3 metres and the engine power of the vessel must not exceed 400 kilowatts. Mesh restrictions apply. ","North Eastern IFCA",,,"Byelaw XXIX: Humber Estuary Fishing Byelaw 2016",2016-04-27,http://www.ne-ifca.gov.uk/legislation-and-byelaws/byelaw-regulations/,http://www.ne-ifca.gov.uk/legislation-and-byelaws/,1970-01-01
2164,1,"Inner Dowsing Race Bank and North Ridge SAC 2022 - Static","A person must not use static fishing gear in a specified area of reef. A vessel transiting through a specified area of reef must have all static fishing gear inboard, lashed and stowed.",MMO,,,"Prohibited Fishing Gears Byelaw 2022",2022-06-13,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1068921/Inner_Dowsing__Race_Bank_and_North_Ridge_SAC_Byelaw.pdf,https://www.gov.uk/guidance/marine-conservation-byelaws#current-mmo-byelaws,2022-06-10
2165,1,"Inner Dowsing Race Bank and North Ridge SAC 2022 - Towing","A person must not use bottom towed fishing gear in a specified area of reef or a specified area of sandbank. A vessel transiting through a specified area of reef or a specified area of sandbank must have all bottom towed fishing gear inboard, lashed and stowed.",MMO,,,"Prohibited Fishing Gears Byelaw 2022",2022-06-13,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1068921/Inner_Dowsing__Race_Bank_and_North_Ridge_SAC_Byelaw.pdf,https://www.gov.uk/guidance/marine-conservation-byelaws#current-mmo-byelaws,2022-06-10
1174,1,"Inverness Firth","Fishing for sea fish with mobile or active gear prohibited. Dredging (but not suction dredging) for cockles and mussels permitted.","Scottish Government (Marine Scotland)",,,"SSI 2004 No. 276 (Art 3)",2004-07-05,http://www.legislation.gov.uk/ssi/2004/276/schedule/1/made,https://marine.gov.scot/information/fishing-managed-areas,2021-07-07
1194,1,"Irish Sea Cod Box","In the period from 14 February to 30 April each year it shall be prohibited to use any dermersal trawl, seine or similar towed net, any gillnet, entangling net or trammel net or any fishing gear incorporating hooks. However, fishing gears that have been scientifically assessed as being highly selective can be permitted to continue. The gears in use in the Nephrops Fishery, as required by the Discard Plan above, are considered to meet this requirement and can continue to be used during the closed period. A further derogation has been provided in 2021 for a directed haddock fishery, again using the gears identified in the Discard Plan, above, as being highly selective.",DAERA,"14th February","30th April","EU 2019/1241 (Annex VI Part C)",2019-08-14,https://www.legislation.gov.uk/eur/2019/1241/annex/VI/part/C/adopted,https://www.daera-ni.gov.uk/articles/cod-conservation-measures,2021-07-07
1079,1,"Isle of Man 0-3 NM King Scallop Licences: Territorial sea (0-3nm)","No person shall fish for, take or kill scallops by means of a scallop dredge if the width exceeds 25ft (762cm). 0-3nm permit required. IoM licence required.","Isle of Man Government","1st January","1st January","Isle of Man 0-3 NM King Scallop Licences",2016-11-01,https://www.gov.im/media/1353399/isle-of-man-0-3-nm-licence-policy-november-2016.pdf,https://www.gov.im/commercialfishing,2021-07-19
1015,1,"Isles of Scilly IFCA District","No person may operate any vessel carrying towed fishing gear within the restricted area unless the towed fishing gear is inboard, lashed and stowed; or the towed fishing gear is being used in accordance with a permit issued by the Authority under paragraphs 8 to 14 and any permit conditions. No person may fish with a vessel that exceeds: a) 10 tonnes gross tonnage; or b) 11 metres in overall length.","Isles of Scilly IFCA",,,"Fishing Gear Permit Byelaw",2013-12-10,https://secure.toolkitfiles.co.uk/clients/19937/sitedata/Redesign/byelaws-redesign/Fishing-Gear-Permit-Byelaw.pdf,https://www.scillyifca.gov.uk/byelaws,2021-06-14
1013,1,"Isles of Scilly IVMS Area 1","The Authority may attach an additional requirement to a permit that prohibits the permit holder from using towed fishing gear within the specified area without an operational and functioning Inshore Vessel Monitoring System;","Isles of Scilly IFCA",,,"Fishing Gear Permit Byelaw",2013-12-10,https://secure.toolkitfiles.co.uk/clients/19937/sitedata/Redesign/byelaws-redesign/Fishing-Gear-Permit-Byelaw.pdf,https://www.scillyifca.gov.uk/byelaws,2021-06-14
1014,1,"Isles of Scilly IVMS Area 2","The Authority may attach an additional requirement to a permit that prohibits the permit holder from using towed fishing gear within the specified area without an operational and functioning Inshore Vessel Monitoring System;","Isles of Scilly IFCA",,,"Fishing Gear Permit Byelaw",2013-12-10,https://secure.toolkitfiles.co.uk/clients/19937/sitedata/Redesign/byelaws-redesign/Fishing-Gear-Permit-Byelaw.pdf,https://www.scillyifca.gov.uk/byelaws,2021-06-14
1012,1,"Isles of Scilly Prohibited Area","No person may operate any vessel using towed fishing gear (any dredge, trawl or similar device that is designed to be towed or pushed to take any sea fisheries resources) within the prohibited area.","Isles of Scilly IFCA",,,"Fishing Gear Permit Byelaw",2013-12-10,https://secure.toolkitfiles.co.uk/clients/19937/sitedata/Redesign/byelaws-redesign/Fishing-Gear-Permit-Byelaw.pdf,https://www.scillyifca.gov.uk/byelaws,2021-06-14
1178,1,"Lang Craig to Arbroath","Fishing for sea fish with mobile or active gear prohibited.","Scottish Government (Marine Scotland)",,,"SSI 2004 No. 276 (Art 3)",2004-07-05,http://www.legislation.gov.uk/ssi/2004/276/schedule/1/made,https://marine.gov.scot/information/fishing-managed-areas,2021-07-07
1532,1,"Live Wrasse Fishing (Limited Permit) Byelaw 2018: Area A","A person must not place or use a pot or trap for fishing for or taking live wrasse where the pot or trap exceeds a length of 75 centimetres, or a width of 45 centimetres, or a depth of 35 centimetres. ","Cornwall IFCA",,,"Live Wrasse Fishing (Limited Permit) Byelaw 2018",2019-02-04,https://secure.toolkitfiles.co.uk/clients/17099/sitedata/Byelaws%20and%20orders/Cornwall_IFCA/Live-Wrasse-Fishing-Byelaw-2018.pdf,https://www.cornwall-ifca.gov.uk/Byelaws_Regulations,2021-09-03
1533,1,"Live Wrasse Fishing (Limited Permit) Byelaw 2018: Area B","A person must not place or use a pot or trap for fishing for or taking live wrasse where the pot or trap exceeds a length of 75 centimetres, or a width of 45 centimetres, or a depth of 35 centimetres. ","Cornwall IFCA",,,"Live Wrasse Fishing (Limited Permit) Byelaw 2018",2019-02-04,https://secure.toolkitfiles.co.uk/clients/17099/sitedata/Byelaws%20and%20orders/Cornwall_IFCA/Live-Wrasse-Fishing-Byelaw-2018.pdf,https://www.cornwall-ifca.gov.uk/Byelaws_Regulations,2021-09-03
1534,1,"Live Wrasse Fishing (Limited Permit) Byelaw 2018: Area C","A person must not place or use a pot or trap for fishing for or taking live wrasse where the pot or trap exceeds a length of 75 centimetres, or a width of 45 centimetres, or a depth of 35 centimetres. ","Cornwall IFCA",,,"Live Wrasse Fishing (Limited Permit) Byelaw 2018",2019-02-04,https://secure.toolkitfiles.co.uk/clients/17099/sitedata/Byelaws%20and%20orders/Cornwall_IFCA/Live-Wrasse-Fishing-Byelaw-2018.pdf,https://www.cornwall-ifca.gov.uk/Byelaws_Regulations,2021-09-03
1535,1,"Live Wrasse Fishing (Limited Permit) Byelaw 2018: Area D","A person must not place or use a pot or trap for fishing for or taking live wrasse where the pot or trap exceeds a length of 75 centimetres, or a width of 45 centimetres, or a depth of 35 centimetres. ","Cornwall IFCA",,,"Live Wrasse Fishing (Limited Permit) Byelaw 2018",2019-02-04,https://secure.toolkitfiles.co.uk/clients/17099/sitedata/Byelaws%20and%20orders/Cornwall_IFCA/Live-Wrasse-Fishing-Byelaw-2018.pdf,https://www.cornwall-ifca.gov.uk/Byelaws_Regulations,2021-09-03
1536,1,"Live Wrasse Fishing (Limited Permit) Byelaw 2018: Area E","A person must not place or use a pot or trap for fishing for or taking live wrasse where the pot or trap exceeds a length of 75 centimetres, or a width of 45 centimetres, or a depth of 35 centimetres. ","Cornwall IFCA",,,"Live Wrasse Fishing (Limited Permit) Byelaw 2018",2019-02-04,https://secure.toolkitfiles.co.uk/clients/17099/sitedata/Byelaws%20and%20orders/Cornwall_IFCA/Live-Wrasse-Fishing-Byelaw-2018.pdf,https://www.cornwall-ifca.gov.uk/Byelaws_Regulations,2021-09-03
